image_name,predicted_num
16585.png,2
8820.png,7
14392.png,8
9280.png,9
15932.png,1
12085.png,6
10692.png,7
11598.png,3
10686.png,7
9294.png,7
15926.png,7
12091.png,9
15098.png,7
6819.png,8
8834.png,0
14386.png,1
16591.png,5
6831.png,6
12907.png,7
10876.png,4
7291.png,1
7285.png,2
10862.png,0
6825.png,2
8808.png,6
12913.png,8
14351.png,7
9525.png,4
7508.png,5
12720.png,8
11229.png,6
16546.png,1
10137.png,6
10651.png,6
16220.png,2
10889.png,9
12046.png,3
15729.png,7
14437.png,6
9243.png,1
13358.png,5
12052.png,7
8149.png,0
9257.png,8
14423.png,1
10645.png,7
16234.png,9
16552.png,8
10123.png,9
9531.png,7
14345.png,3
12734.png,2
11215.png,0
13402.png,3
9519.png,3
8607.png,6
15073.png,9
7534.png,6
8161.png,3
15715.png,4
7252.png,4
13364.png,1
11573.png,0
10679.png,0
16208.png,6
11567.png,9
15701.png,9
8175.png,5
7246.png,5
13370.png,1
13416.png,7
14379.png,6
15067.png,7
8613.png,8
7520.png,5
12708.png,9
11201.png,4
11956.png,5
10490.png,8
12287.png,6
13199.png,9
9082.png,8
14190.png,1
7911.png,3
13827.png,7
14184.png,1
7905.png,1
9928.png,0
13833.png,4
8388.png,5
12293.png,5
9096.png,9
11942.png,2
10484.png,5
7093.png,0
14812.png,8
9900.png,5
7939.png,1
9914.png,6
7087.png,2
14806.png,4
14635.png,6
9041.png,3
12244.png,7
16022.png,1
11995.png,5
10453.png,9
10335.png,6
12522.png,9
8439.png,9
14153.png,6
9727.png,9
12536.png,0
15259.png,9
9733.png,9
14147.png,3
13628.png,8
10321.png,6
11759.png,0
16036.png,1
11981.png,4
10447.png,3
9055.png,8
14621.png,7
7078.png,1
12250.png,3
11771.png,4
13166.png,5
14609.png,6
7050.png,5
8363.png,5
15517.png,3
12278.png,9
7736.png,9
8405.png,0
15271.png,4
13600.png,7
10309.png,6
11017.png,3
11003.png,4
7722.png,7
15265.png,5
8411.png,7
13614.png,3
13172.png,2
9069.png,2
7044.png,8
15503.png,3
8377.png,8
11765.png,9
16195.png,8
11822.png,9
14782.png,0
13953.png,9
9848.png,8
12495.png,7
7865.png,6
9690.png,2
10282.png,7
10296.png,5
11188.png,1
13947.png,7
12481.png,2
7871.png,8
9684.png,9
14796.png,7
15488.png,3
16181.png,8
11836.png,3
14966.png,4
7681.png,4
9874.png,8
7859.png,8
7695.png,6
9860.png,7
14972.png,7
14999.png,6
12330.png,4
7118.png,4
9135.png,2
14741.png,6
10527.png,9
16156.png,2
11639.png,3
16630.png,7
10241.png,8
13748.png,5
9653.png,6
14027.png,8
15339.png,4
13990.png,1
12456.png,5
14033.png,8
9647.png,1
8559.png,1
13984.png,9
12442.png,0
16624.png,8
10255.png,0
10533.png,9
16142.png,4
12324.png,3
14755.png,6
9121.png,0
11605.png,3
7124.png,0
15463.png,4
8217.png,4
9109.png,5
13012.png,8
13774.png,9
7642.png,6
15305.png,9
8571.png,8
11163.png,6
11177.png,7
16618.png,5
10269.png,6
13760.png,5
7656.png,9
8565.png,4
15311.png,7
12318.png,8
7130.png,3
8203.png,6
15477.png,9
14769.png,7
13006.png,0
11611.png,4
10080.png,8
9492.png,9
13589.png,0
8954.png,8
6979.png,8
12697.png,4
15846.png,3
14580.png,6
16397.png,6
16383.png,8
15852.png,4
14594.png,2
9486.png,4
8940.png,6
12683.png,0
8798.png,1
10094.png,5
12873.png,7
8968.png,5
6945.png,3
7483.png,4
10902.png,7
10916.png,8
12867.png,5
6789.png,7
6951.png,6
7497.png,0
12654.png,4
6762.png,0
9451.png,9
14225.png,7
8997.png,3
10043.png,8
16432.png,9
16354.png,2
10725.png,9
15885.png,5
9337.png,3
14543.png,5
8029.png,1
12132.png,7
13238.png,8
15891.png,5
14557.png,2
9323.png,4
15649.png,0
12126.png,1
16340.png,2
10731.png,8
10057.png,1
16426.png,4
11349.png,8
12640.png,4
7468.png,8
6776.png,8
12898.png,4
14231.png,4
9445.png,7
8983.png,9
11361.png,1
12668.png,3
6986.png,8
15107.png,8
8773.png,1
7440.png,8
14219.png,0
13576.png,8
13210.png,2
15661.png,5
8015.png,6
7326.png,8
11407.png,5
16368.png,1
10719.png,9
11413.png,3
13204.png,3
8001.png,5
15675.png,2
7332.png,3
6992.png,9
8767.png,2
15113.png,2
7454.png,2
9479.png,2
13562.png,6
11375.png,1
7333.png,8
15674.png,2
8000.png,9
13205.png,6
11412.png,5
11374.png,1
13563.png,0
9478.png,5
7455.png,8
15112.png,1
8766.png,7
6993.png,2
13577.png,6
14218.png,9
7441.png,4
8772.png,2
15106.png,5
12669.png,5
6987.png,4
11360.png,1
10718.png,2
16369.png,1
11406.png,5
7327.png,0
8014.png,0
15660.png,8
13211.png,1
10730.png,3
16341.png,1
12127.png,4
15648.png,2
9322.png,1
14556.png,6
15890.png,2
13239.png,9
8982.png,9
9444.png,6
14230.png,5
6777.png,1
12899.png,9
7469.png,0
12641.png,3
11348.png,3
16427.png,3
10056.png,9
16433.png,7
10042.png,5
8996.png,7
14224.png,9
9450.png,8
6763.png,3
12655.png,0
12133.png,1
8028.png,6
14542.png,9
9336.png,6
15884.png,3
10724.png,1
16355.png,3
10917.png,4
7496.png,8
6950.png,6
12866.png,3
6788.png,1
7482.png,5
6944.png,1
8969.png,3
12872.png,3
10903.png,7
14595.png,2
15853.png,6
16382.png,1
10095.png,7
8799.png,4
12682.png,3
8941.png,1
9487.png,3
6978.png,3
12696.png,7
8955.png,7
13588.png,3
9493.png,4
10081.png,0
16396.png,5
14581.png,5
15847.png,0
15310.png,5
8564.png,1
7657.png,3
13761.png,5
10268.png,7
16619.png,4
11176.png,7
11610.png,0
13007.png,5
14768.png,1
15476.png,7
8202.png,3
7131.png,2
12319.png,2
13013.png,9
9108.png,0
8216.png,4
15462.png,2
7125.png,6
11604.png,8
11162.png,2
8570.png,8
15304.png,8
7643.png,8
13775.png,0
10254.png,1
16625.png,2
12443.png,8
13985.png,3
8558.png,3
9646.png,1
14032.png,2
9120.png,3
14754.png,4
12325.png,3
16143.png,2
10532.png,3
11638.png,1
16157.png,3
10526.png,6
14740.png,4
9134.png,9
7119.png,5
12331.png,4
14998.png,8
12457.png,7
13991.png,4
15338.png,0
14026.png,3
9652.png,4
13749.png,0
10240.png,4
16631.png,8
9861.png,1
7694.png,0
14973.png,7
14967.png,3
7858.png,2
9875.png,9
7680.png,5
9685.png,8
7870.png,9
12480.png,2
13946.png,0
11189.png,4
10297.png,7
11837.png,2
16180.png,1
15489.png,2
14797.png,8
14783.png,2
11823.png,3
16194.png,9
10283.png,7
9691.png,1
7864.png,3
12494.png,4
9849.png,1
13952.png,7
13615.png,2
8410.png,6
15264.png,2
7723.png,2
11002.png,7
11764.png,1
8376.png,5
15502.png,9
7045.png,7
9068.png,5
13173.png,2
12279.png,6
15516.png,0
8362.png,0
7051.png,7
14608.png,1
13167.png,8
11770.png,9
11016.png,0
10308.png,9
13601.png,3
15270.png,2
8404.png,0
7737.png,5
10320.png,5
13629.png,2
14146.png,6
9732.png,3
15258.png,2
12537.png,7
12251.png,5
7079.png,0
14620.png,7
9054.png,2
10446.png,5
11980.png,6
16037.png,9
11758.png,2
10452.png,2
11994.png,7
16023.png,8
12245.png,1
9040.png,6
14634.png,6
9726.png,7
14152.png,6
8438.png,6
12523.png,1
10334.png,4
9915.png,0
7938.png,0
14807.png,0
7086.png,9
14813.png,9
7092.png,3
9901.png,3
13832.png,5
9929.png,1
7904.png,9
14185.png,8
10485.png,0
11943.png,0
9097.png,6
12292.png,2
8389.png,3
9083.png,6
13198.png,1
12286.png,2
10491.png,2
11957.png,0
13826.png,8
7910.png,8
14191.png,3
13371.png,7
7247.png,5
8174.png,1
15700.png,6
11566.png,3
16209.png,9
10678.png,0
11200.png,3
12709.png,8
7521.png,8
8612.png,8
15066.png,7
14378.png,2
13417.png,3
7535.png,6
15072.png,7
8606.png,9
9518.png,8
13403.png,6
11214.png,1
11572.png,2
13365.png,9
7253.png,7
15714.png,7
8160.png,1
16235.png,0
10644.png,1
14422.png,0
9256.png,9
8148.png,0
12053.png,8
12735.png,8
14344.png,4
9530.png,1
10122.png,9
16553.png,1
10136.png,8
16547.png,4
11228.png,7
12721.png,4
7509.png,9
9524.png,0
14350.png,5
13359.png,6
9242.png,7
14436.png,5
15728.png,4
12047.png,5
10888.png,3
16221.png,9
10650.png,1
10863.png,6
7284.png,6
12912.png,0
8809.png,9
6824.png,4
12906.png,6
6830.png,1
7290.png,2
10877.png,1
12090.png,6
15927.png,1
9295.png,3
10687.png,1
11599.png,5
16590.png,0
14387.png,0
8835.png,4
6818.png,7
15099.png,3
14393.png,7
8821.png,9
16584.png,0
10693.png,8
12084.png,4
15933.png,2
9281.png,5
8837.png,8
14385.png,4
16592.png,7
10685.png,7
9297.png,4
15925.png,4
12092.png,8
8189.png,3
9283.png,4
15931.png,3
13398.png,6
12086.png,9
10849.png,8
10691.png,8
16586.png,8
8823.png,7
